City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304,308 IPC)",
AGRA,61,3.5,90,5.2,13,0.7
AHMEDABAD,96,1.5,68,1.1,2,0
ALLAHABAD,44,3.6,50,4.1,12,1
AMRITSAR,18,1.5,55,4.6,4,0.3
ASANSOL,56,4.5,49,3.9,7,0.6
AURANGABAD,32,2.7,50,4.2,0,0
BENGALURU,217,2.6,442,5.2,26,0.3
BHOPAL,38,2,94,5,0,0
CHANDIGARH (CITY),18,1.8,49,4.8,3,0.3
CHENNAI,201,2.3,202,2.3,1,0
COIMBATORE,26,1.2,53,2.5,0,0
DELHI (CITY),430,2.6,502,3.1,56,0.3
DHANBAD,19,1.6,11,0.9,3,0.3
DURG-BHILAINAGAR,27,2.5,39,3.7,1,0.1
FARID AB AD,60,4.3,59,4.2,3,0.2
GHAZIABAD,43,1.8,62,2.6,28,1.2
GWALIOR,58,5.3,96,8.7,8,0.7
HYDERABAD,120,1.5,145,1.9,5,0.1
INDORE,76,3.5,182,8.4,7,0.3
JABALPUR,47,3.7,90,7.1,5,0.4
JAIPUR,105,3.4,94,3.1,10,0.3
JAMSHEDPUR,35,2.6,24,1.8,3,0.2
JODHPUR,45,4,110,9.7,3,0.3
KANNUR,4,0.2,10,0.6,0,0
KANPUR,56,1.9,50,1.7,15,0.5
KOCHI,5,0.2,22,1,2,0.1
KOLKATA,77,0.5,115,0.8,37,0.3
KOLLAM,16,1.4,36,3.2,8,0.7
KOTA,19,1.9,75,7.5,1,0.1
KOZHIKODE,11,0.5,14,0.7,1,0
LUCKNOW,92,3.2,98,3.4,12,0.4
LUDHIANA,71,4.4,72,4.5,6,0.4
MADURAI,39,2.7,49,3.4,2,0.1
MALAPPURAM,1,0.1,7,0.4,1,0.1
MEERUT,101,7.1,138,9.7,6,0.4
MUMBAI,170,0.9,190,1,8,0
NAGPUR,103,4.1,85,3.4,7,0.3
NASIK,35,2.2,20,1.3,2,0.1
PATNA,198,9.7,91,4.4,2,0.1
PUNE,129,2.6,137,2.7,10,0.2
RAIPUR,39,3.5,72,6.4,2,0.2
RAJKOT,36,2.6,26,1.9,3,0.2
RANCHI,65,5.8,14,1.2,0,0
SRINAGAR,16,1.3,38,3,4,0.3
SURAT,99,2.2,30,0.7,9,0.2
THIRUVANANTHAPURAM,10,0.6,19,1.1,6,0.4
THRISSUR,17,0.9,8,0.4,6,0.3
TIRUCHIRAPALLI,21,2.1,27,2.6,0,0
VADODARA,20,1.1,34,1.9,2,0.1
VARANASI,34,2.4,37,2.6,2,0.1
VASAI VIRAR,42,3.4,27,2.2,2,0.2
VIJAYAWADA,29,1.9,55,3.7,8,0.5
VISHAKHAPATNAM,30,1.7,50,2.9,1,0.1
