City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",
AGRA,58,4.4,61,4.6,26,2
AHMEDABAD,82,1.8,66,1.5,4,0.1
ALLAHABAD,44,4.2,47,4.5,4,0.4
AMRITSAR,53,5.2,71,7,7,0.7
ASANSOL,34,3.1,8,0.7,14,1.3
BENGALURU,266,4.7,445,7.8,5,0.1
BHOPAL,49,3.4,59,4.1,3,0.2
CHENNAI,103,1.6,158,2.5,2,0
COIMBATORE,22,1.5,27,1.9,0,0
DELHI (CITY),453,3.5,260,2,63,0.5
DHANBAD,17,1.6,10,0.9,7,0.7
FARIDABAD,70,6.6,49,4.6,5,0.5
HYDERABAD,134,2.4,143,2.6,8,0.1
INDORE,80,4.9,129,7.9,2,0.1
JABALPUR,48,4.3,71,6.4,0,0
JAIPUR,65,2.8,68,2.9,7,0.3
JAMSHEDPUR,52,4.7,27,2.5,8,0.7
KANPUR,150,5.6,109,4.1,41,1.5
KOCHI,4,0.3,11,0.8,3,0.2
KOLKATA,49,0.4,55,0.4,43,0.3
LUCKNOW,83,3.7,67,3,19,0.8
LUDHIANA,81,5.8,81,5.8,12,0.9
MADURAI,34,2.8,50,4.2,0,0
MEERUT,34,2.9,55,4.7,5,0.4
MUMBAI,228,1.4,170,1,7,0
NAGPUR,88,4.1,69,3.3,5,0.2
NAS IK,37,3.2,32,2.8,1,0.1
PATNA,130,7.6,20,1.2,4,0.2
PUNE,129,3.4,94,2.5,6,0.2
RAJKOT,38,3.8,22,2.2,1,0.1
SURAT,87,3.1,19,0.7,1,0
VADODARA,23,1.5,25,1.7,1,0.1
VARANASI,15,1.2,34,2.8,15,1.2
VIJAYAWADA,33,3.3,49,4.8,1,0.1
VISHAKHAPATNAM,24,1.8,25,1.9,4,0.3
