TABLE-1.8 (Continued),,,,,,,
,,,,,,,
Incidence (I) & Rate (R) Of Cognizable Crimes (IPC) Under,,,,,,,
Different Crime Heads In Cities During 2011,,,,,,,
,,,,,,,
SI. No.,City,Murder (Sec. 302 IPC),,Attempt To Commit Murder (Sec. 307 IPC),,"C.H. Not Amounting To Murder (Sec. 304,308 IPC)",
,,i,R,i,R,I,R
(1),(2),(3),(4),(5),(6),(7),(8)
CITIES:,,,,,,,
36,AGRA,112,6.4,126,7.2,28,1.6
37,AHMEDABAD,95,1.5,69,1.1,2,0.0
38,ALLAHABAD,59,4.8,60,4.9,7,0.6
39,AMRITSAR,32,2.7,75,6.3,0,0.0
40,ASANSOL,58,4.7,3,0.2,11,0.9
41,AURANGABAD,41,3.4,118,9.9,1,0.1
42,BENGALURU,232,2.7,460,5.4,3,0.0
43,BHOPAL,60,3.2,96,5.1,5,0.3
44,CHANDIGARH(C),21,2.0,38,3.7,6,0.6
45,CHENNAI,168,1.9,332,3.8,1,0.0
46,COIMBATORE,26,1.2,41,1.9,0,0.0
47,DELHI (CITY),438,2.7,323,2.0,53,0.3
48,DHANBAD,28,2.3,9,0.8,8,0.7
49,DURG-BHILAINAGAR,46,4.3,48,4.5,2,0.2
50,FARID AB AD,60,4.3,59,4.2,5,0.4
51,GHAZIABAD,82,3.5,70,3.0,20,0.8
52,GWALIOR,67,6.1,97,00 00,18,1.6
53,HYDERABAD,117,1.5,136,1.8,6,0.1
54,INDORE,107,4.9,110,5.1,3,0.1
55,JABALPUR,50,3.9,102,8.0,2,0.2
56,JAIPUR,83,2.7,82,2.7,6,0.2
57,JAMSHEDPUR,36,2.7,22,1.6,6,0.4
58,JODHPUR,29,2.5,54,4.7,6,0.5
59,KANNUR,2,0.1,12,0.7,1,0.1
60,KANPUR,159,5.4,140,4.8,41,1.4
61,KOCHI,15,0.7,14,0.7,0,0.0
62,KOLKATA,54,0.4,85,0.6,28,0.2
63,KOLLAM,13,1.2,39,3.5,3,0.3
64,KOTA,35,3.5,100,10.0,6,0.6
65,KOZHIKODE,5,0.2,15,0.7,0,0.0
66,LUCKNOW,86,3.0,64,2.2,26,0.9
67,LUDHIANA,59,3.7,68,4.2,7,0.4
68,MADURAI,35,2.4,56,3.8,0,0.0
69,MALAPPURAM,3,0.2,3,0.2,0,0.0
70,MEERUT,74,5.2,84,5.9,9,0.6
71,MUMBAI,203,1.1,180,1.0,4,0.0
72,NAGPUR,114,4.6,74,3.0,13,0.5
73,NASIK,37,2.4,32,2.0,4,0.3
74,PATNA,133,6.5,19,0.9,0,0.0
75,PUNE,110,2.2,118,2.3,5,0.1
76,RAIPUR,38,3.4,52,4.6,1,0.1
77,RAJKOT,44,3.2,22,1.6,0,0.0
78,RANCHI,71,6.3,27,2.4,5,0.4
79,SRINAGAR,12,0.9,64,5.0,0,0.0
80,SURAT,100,2.2,38,0.8,2,0.0
81,THIRUVANANTHAPURAM,8,0.5,29,1.7,3,0.2
82,THRISSUR,7,0.4,17,0.9,7,0.4
83,TIRUCHIRAPALLI,27,1.9,21,1.5,1,0.1
84,VADODARA,21,1.2,27,1.5,2,0.1
85,VARANASI,33,2.3,31,2.2,5,0.3
86,VASAI VIRAR,31,2.5,15,1.2,2,0.2
87,VIJAYAWADA,35,2.3,66,4.4,5,0.3
88,VISHAKHAPATNAM,39,2.3,34,2.0,5,0.3
,TOTAL (CITIES),3650,2.3,4076,2.5,384,0.2
,,,,,,,
205,,,,,,,
