TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,,,Theft,,,,Riots,
No.,,,,(Sec.379-382 IPQ,,,,"(Sec.143-145,147-",
,,Total,,Auto Theft,,Other Theft,,"151,153,153A,153B,157,",
,,I,R,I,R,I,R,"158,160 IPC) I R",
(1),(2),(29),(30),(31),(32),(33),(34),(35),(36)
STATES:,,,,,,,,,
1,ANDHRA PRADESH,27475,32.0,8036,9.4,19439,22.7,1878,2.2
2,ARUNACHALPRADESH,402,31.9,95,7.5,307,24.4,28,2.2
3,ASSAM,9394,30.2,2720,8.8,6674,21.5,5077,16.3
4,BIHAR,17667,17.8,6404,6.4,11263,11.3,10871,10.9
5,CHHATTISGARH,5341,21.6,2358,9.5,2983,12.1,910,3.7
6,GOA,915,49.9,300,16.4,615,33.5,122,6.7
7,GUJARAT,15952,26.6,9057,15.1,6895,11.5,1758,2.9
8,HARYANA,17590,67.7,12979,49.9,4611,17.7,1424,5.5
9,HIMACHAL PRADESH,769,11.2,265,3.9,504,7.3,494,7.2
10,JAMMU & KASHMIR,2022,17.0,557,4.7,1465,12.3,1400,11.8
11,JHARKHAND,6680,20.8,2215,6.9,4465,13.9,2331,7.3
12,KARNATAKA,18418,30.6,8886,14.8,9532,15.8,7502,12.5
13,KERALA,4078,11.7,1262,3.6,2816,8.1,10938,31.4
14,MADHYA PRADESH,23182,31.4,12279,16.7,10903,14.8,1951,2.6
15,MAHARASHTRA,47476,41.4,17855,15.6,29621,25.8,8860,7.7
16,MANIPUR,903,36.3,736,29.6,167,6.7,72,2.9
17,MEGHALAYA,543,20.4,152,5.7,391,14.7,0,0.0
18,MIZORAM,605,59.3,24,2.4,581,57.0,1,0.1
19,NAGALAND,381,16.7,65,2.8,316,13.8,3,0.1
20,ODISHA,9630,23.4,3210,7.8,6420,15.6,2205,5.3
21,PUNJAB,5272,18.8,2011,7.2,3261,11.6,1,0.0
22,RAJASTHAN,23314,33.7,14107,20.4,9207,13.3,573,0.8
23,SIKKIM,117,18.8,17,2.7,100,16.1,22,3.5
24,TAMIL NADU,11996,17.6,3915,5.8,8081,11.9,3136,4.6
25,TRIPURA,565,15.4,140,3.8,425,11.6,128,3.5
26,UTTAR PRADESH,37376,18.2,22773,11.1,14603,7.1,5676,2.8
27,UTTARAKHAND,1913,18.9,949,9.4,964,9.5,369,3.6
28,WEST BENGAL,22991,25.4,5158,5.7,17833,19.7,6611,7.3
,TOTAL (STATES),312967,26.3,138525,11.6,174442,14.7,74341,6.2
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,71,13.9,0,0.0,71,13.9,8,1.6
30,CHANDIGARH,1549,101.1,894,58.4,655,42.8,49,3.2
31,D & N HAVELI,68,18.1,36,9.6,32,8.5,11,2.9
32,DAMAN & DILI,55,19.3,42,14.7,13,4.6,9,3.2
33,DELHI,22032,115.0,14391,75.1,7641,39.9,79,0.4
34,LAKSHADWEEP,7,9.1,1,1.3,6,7.8,10,13.0
35,PUDUCHERRY,658,44.7,462,31.4,196,13.3,126,8.6
,TOTAL (UTs),24440,104.4,15826,67.6,8614,36.8,292,1.2
,TOTAL (ALL-INDIA),337407,27.8,154351,12.7,183056,15.1,74633,6.2
,,,,,,,,,
212,,,,,,,,,
