TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI.,State/UT,,,Theft,,,,Riots,
No.,,,,(Sec.379-382 IPC),,,,"(Sec.143-145,147-",
,,Total,,Auto Theft,,Other Theft,,"151,153,153A,153B,157,",
,,,,,,,,"158,160 IPC)",
,,i,R,i,R,i,R,I,R
(1),_O)_,(29),(30),(31),(32),(33),(34),(35),(36)
STATES:,,,,,,,,,
1,ANDHRA PRADESH,28267,33.4,8966,10.6,19301,22.8,2210,2.6
2,ARUNACHAL PRADESH,414,29.9,152,11.0,262,18.9,49,3.5
3,ASSAM,8309,26.7,585,1.9,7724,24.8,2328,7.5
4,BIHAR,16292,15.7,5041,4.9,11251,10.8,9768,9.4
5,CHHATTISGARH,5315,20.8,2292,9.0,3023,11.8,934,3.7
6,GOA,1115,76.5,463,31.8,652,44.7,74,5.1
7,GUJARAT,16043,26.6,8934,14.8,7109,11.8,1615,2.7
8,HARYANA,17425,68.7,12541,49.5,4884,19.3,1466,5.8
9,HIMACHAL PRADESH,1042,15.2,356,5.2,686,10.0,530,7.7
10,JAMMU & KASHMIR,2655,21.2,930,7.4,1725,13.7,1405,11.2
11,JHARKHAND,6378,19.3,1872,5.7,4506,13.7,2133,6.5
12,KARNATAKA,19834,32.4,10226,16.7,9608,15.7,7265,11.9
13,KERALA,4704,14.1,1454,4.4,3250,9.7,10754,32.2
14,MADHYA PRADESH,22414,30.9,11595,16.0,10819,14.9,2080,2.9
15,MAHARASHTRA,53449,47.6,19270,17.1,34179,30.4,8556,7.6
16,MANIPUR,719,26.4,553,20.3,166,6.1,70,2.6
17,MEGHALAYA,696,23.5,190,6.4,506,17.1,8,0.3
18,MIZORAM,734,67.3,39,3.6,695,63.7,0,0.0
19,NAGALAND,360,18.2,85,4.3,275,13.9,1,0.1
20,ODISHA,8724,20.8,2986,7.1,5738,13.7,1556,3.7
21,PUNJAB,4784,17.3,2107,7.6,2677,9.7,0,0.0
22,RAJASTHAN,21099,30.7,12566,18.3,8533,12.4,751,1.1
23,SIKKIM,72,11.8,8,1.3,64,10.5,25,4.1
24,TAMIL NADU,13924,19.3,4911,6.8,9013,12.5,3009,4.2
25,TRIPURA,494,13.5,59,1.6,435,11.8,175,4.8
26,UTTAR PRADESH,36683,18.4,21363,10.7,15320,7.7,5022,2.5
27,UTTARAKHAND,2093,20.7,840,8.3,1253,12.4,401,4.0
28,WEST BENGAL,21446,23.5,4642,5.1,16804,18.4,6019,6.6
,TOTAL (STATES),315484,26.5,135026,11.3,180458,15.2,68204,5.7
UNION TERRITORIES,,,,,,,,,
29,A & N ISLANDS,88,23.2,4,1.1,84,22.1,11,2.9
30,CHANDIGARH,1502,142.4,915,86.7,587,55.6,66,6.3
31,D & N HAVELI,69,20.1,43,12.5,26,7.6,20,5.8
32,DAMAN & DILI,47,19.3,33,13.6,14,5.8,19,7.8
33,DELHI,22899,136.7,14668,87.6,8231,49.1,50,0.3
34,LAKSHADWEEP,4,6.3,0,0.0,4,6.3,5,7.8
35,PUDUCHERRY,707,56.8,511,41.1,196,15.8,125,10.0
,TOTAL (UTs),25316,126.1,16174,80.5,9142,45.5,296,1.5
,TOTAL (ALL-INDIA),340800,28.2,151200,12.5,189600,15.7,68500,5.7
,,,,,,,,,
212,,,,,,,,,
