TABLE-1.8 (Continued),,,,,,,,,
,,,,,,,,,
SI. No.,State/UT,Criminal Breach of Trust (Sec. 406-409 IPC) I R,,"Cheating (Sec. 419,420 IPC) I R",,"Counterfeiting (Sec. 231-254,489A-489D IPC) I R",,"Arson (Sec. 435,436,438 IPC) I R",
(1),(2),(37),(38),(39),(40),(41),(42),_(43)_(44)_,
STATES:,,,,,,,,,
1,ANDHRA PRADESH,1130,1.3,9164,10.9,186,0.2,925,1.1
2,ARUNACHALPRADESH,59,4.8,91,7.4,0,0.0,28,2.3
3,ASSAM,992,3.2,1371,4.4,68,0.2,437,1.4
4,BIHAR,1071,1.1,3025,3.1,52,0.1,660,0.7
5,CHHATTISGARH,196,0.8,813,3.3,59,0.2,319,1.3
6,GOA,57,3.3,117,6.7,33,1.9,23,1.3
7,GUJARAT,1214,2.1,1002,1.7,255,0.4,260,0.4
8,HARYANA,919,3.7,1662,6.8,29,0.1,221,0.9
9,HIMACHAL PRADESH,110,1.6,318,4.8,4,0.1,127,1.9
10,JAMMU & KASHMIR,150,1.1,422,3.2,19,0.1,224,1.7
11,JHARKHAND,505,1.6,988,3.2,16,0.1,185,0.6
12,KARNATAKA,464,0.8,5543,9.4,192,0.3,286,0.5
13,KERALA,343,1.0,3581,10.2,54,0.2,374,1.1
14,MADHYA PRADESH,507,0.7,1779,2.5,33,0.0,748,1.0
15,MAHARASHTRA,1948,1.8,8684,7.9,389,0.4,1229,1.1
16,MANIPUR,24,0.9,59,2.2,7,0.3,86,3.2
17,MEGHALAYA,37,1.4,98,3.8,4,0.2,52,2.0
18,MIZORAM,25,2.5,79,7.8,12,1.2,15,1.5
19,NAGALAND,13,0.6,39,1.7,3,0.1,1,0.0
20,ODISHA,322,0.8,1108,2.7,29,0.1,430,1.1
21,PUNJAB,243,0.9,3527,12.9,75,0.3,101,0.4
22,RAJASTHAN,789,1.2,16584,24.7,36,0.1,478,0.7
23,SIKKIM,1,0.2,20,3.3,3,0.5,7,1.1
24,TAMIL NADU,177,0.3,3259,4.8,312,0.5,636,0.9
25,TRIPURA,53,1.5,122,3.4,6,0.2,51,1.4
26,UTTAR PRADESH,3817,1.9,9553,4.8,426,0.2,170,0.1
27,UTTARAKHAND,167,1.7,567,5.8,33,0.3,17,0.2
28,WEST BENGAL,1011,1.1,3260,3.6,214,0.2,331,0.4
,TOTAL (STATES),16344,1.4,76835,6.6,2549,0.2,8421,0.7
UNION TERRITORIES:,,,,,,,,,
29,A & N ISLANDS,10,2.3,56,13.0,0,0.0,12,2.8
30,CHANDIGARH,23,2.0,163,14.5,3,0.3,9,0.8
31,D & N HAVELI,12,4.2,18,6.4,1,0.4,2,0.7
32,DAMAN & DILI,4,2.0,5,2.5,0,0.0,0,0.0
33,DELHI,273,1.5,1845,10.1,33,0.2,52,0.3
34,LAKSHADWEEP,0,0.0,0,0.0,0,0.0,2,2.8
35,PUDUCHERRY,12,1.1,77,6.9,3,0.3,10,0.9
,TOTAL (UTs),334,1.5,2164,10.0,40,0.2,87,0.4
,TOTAL (ALL-INDIA),16678,1.4,78999,6.7,2589,0.2,8508,0.7
,,,,,,,,,
214,,,,,,,,,
